360.96331437,228.88802638,789.55054072
380.89055843,172.07637361,820.61863615
363.97315214,234.23985613,817.50857925
373.77215725,238.05506375,789.18586418
367.98744556,235.48643067,789.71233730
377.93108149,245.38462607,815.33312896
360.44895966,231.43732917,812.75796869
377.11968049,232.02321164,786.99964883
420.26131945,198.85755210,805.44390923
366.66298573,225.91394848,787.11892905
365.87251018,238.94122125,816.18143321
359.13949457,234.75658070,803.78607933
377.35853791,246.03731615,804.60623210
391.82840632,245.13210019,798.34351339
418.63180827,215.00566153,807.72640694
360.20615856,170.63653791,795.86913187
372.08815190,242.78528371,797.69617807
379.68554731,219.87330965,785.78393066
353.02715827,221.23185259,796.69580979
385.70720453,166.57569984,819.45338627
377.41389776,204.54956410,821.50566549
412.23798741,190.29862646,854.85166488
387.73157184,168.31722698,852.60342248
376.36351681,235.48092405,829.74874072
369.27349776,218.66097037,818.78364597
374.87387562,164.71223376,804.67968206
382.20320525,166.19752626,836.57796628
369.61530422,236.93924359,823.51190323
417.99520708,155.55250456,786.06205861
387.65153954,186.86587640,781.54766337
406.46816496,207.92602346,782.48740041
385.84816020,240.50378712,788.60514794
408.07018197,231.23165746,787.72388523
414.22512790,166.73978989,833.85248035
373.17134494,191.04085117,845.33099739
401.12673950,203.47965155,819.18322918
396.45890086,230.36325334,815.85550518
358.58929772,218.11578865,787.23767051
350.59914069,195.38223923,797.10151454
397.14824006,150.65284001,801.96319190
364.59224400,225.96216602,817.54338301
357.76984638,215.56856272,809.72160775
379.93080760,167.84175936,812.26030081
366.67811752,183.49758042,810.06570628
388.65791425,158.23130690,809.35211755
409.98596102,166.32716796,811.82230006
381.39933516,151.30057664,795.49139914
396.71845458,149.18055770,778.89551372
351.59404812,208.39886555,793.17844584
370.08527682,199.80720348,784.68361425
382.93476774,168.10107696,828.19453369
395.00916921,151.82085435,829.54296714
372.60368366,179.85978695,832.71581854
389.74256717,160.43819228,826.82486569
402.99681938,161.97294696,823.86800976
373.62009750,226.70415597,823.07260134
385.92116986,228.36147797,822.28869860
371.76000957,174.06757664,809.03207840
380.98657641,217.35936915,821.51052289
390.42970629,208.55322739,842.35371689
362.24553792,236.34333823,812.57666179
368.17972821,242.73674031,807.32731189
391.02566591,158.93398840,837.73651039
